the_geom,SCHOOL_NM,UNIT_ID,SCHOOL_ID,SCH_ADDR,GRADE_CAT,GRADES,SCH_TYPE,X,Y
POINT (-87.73054827191235 41.85685112156846),MASON,4650,610056,4217 W 18TH ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8, 9",Elementary School,-87.7305482714,41.8568511224
POINT (-87.72133536524454 41.858328810844945),PENN,5370,610123,1616 S AVERS AV,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.7213353653,41.8583288116
POINT (-87.70299323701748 41.85577836628522),POPE,5480,610134,1852 S ALBANY AV,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.7029932369,41.8557783671
POINT (-87.70932552314939 41.86124778264891),LATHROP,6750,610253,1440 S CHRISTIANA AV,ES,"1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.709325523,41.8612477835
POINT (-87.71575388927447 41.858855932142816),DVORAK,6760,610254,3615 W 16TH ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.7157538891,41.858855933
POINT (-87.7149630600234 41.84542713538548),CASTELLANOS,2510,609826,2524 S CENTRAL PARK AV,MS,"4, 5, 6, 7, 8",Elementary School,-87.7149630596,41.8454271363
POINT (-87.71735431040445 41.84365842810154),LITTLE VILLAGE ES,2590,609834,2620 S LAWNDALE AV,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.7173543102,41.8436584291
POINT (-87.7312292388169 41.84559117321458),CORKERY,2910,609870,2510 S KILDARE AV,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.7312292389,41.8455911741
POINT (-87.70029251694427 41.821877486365636),"DAVIS, N",2970,609876,3014 W 39TH PL,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.7002925168,41.8218774872
POINT (-87.68127224160506 41.831507504293235),EVERETT,3260,609909,3419 S BELL AV,ES,"PK, K, 1, 2, 3, 4, 5",Elementary School,-87.6812722415,41.8315075055
POINT (-87.70507570069762 41.85078513015086),KANOON,3370,609920,2233 S KEDZIE AV,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.7050757001,41.8507851309
POINT (-87.69663159917924 41.847978336629254),TELPOCHCALLI,3380,609921,2832 W 24TH BL,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6966315987,41.8479783375
POINT (-87.71872194947852 41.83709213146292),GARY,3520,609938,3740 W 31ST ST,MS,"PK, 3, 4, 5, 6, 7, 8",Elementary School,-87.7187219501,41.8370921325
POINT (-87.71722395613581 41.83866156456284),DE DOMINGUEZ,3630,609950,3000 S LAWNDALE AV,ES,"PK, K, 1, 2",Elementary School,-87.7172239562,41.8386615656
POINT (-87.69939936680503 41.81296710719794),GUNSAULUS,3690,609958,4420 S SACRAMENTO AV,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6993993668,41.8129671083
POINT (-87.68570308560284 41.8491600657231),FINKL,3760,609967,2332 S WESTERN AV,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6857030854,41.8491600668
POINT (-87.67329274849595 41.80718738359842),HEDGES,3900,609983,4747 S WINCHESTER AV,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6732927481,41.8071873843
POINT (-87.67214381806878 41.809722263866604),LARA,3980,609993,4619 S WOLCOTT AV,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6721438175,41.8097222647
POINT (-87.69721422619908 41.84796965969226),SAUCEDO,4250,610017,2850 W 24TH BL,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6972142261,41.8479696607
POINT (-87.71598238242554 41.84855409926307),CARDENAS,4320,610024,2345 S MILLARD AV,ES,"PK, K, 1, 2, 3",Elementary School,-87.7159823826,41.8485541003
POINT (-87.7063342142853 41.8421920320309),MCCORMICK,4720,610063,2712 S SAWYER AV,ES,"PK, K, 1, 2, 3, 4, 5",Elementary School,-87.7063342141,41.8421920329
POINT (-87.68078093098671 41.84809008975533),RUIZ,5390,610125,2410 S LEAVITT ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6807809306,41.8480900904
POINT (-87.70513661991316 41.84098305287659),MADERO,6310,610215,3202 W 28TH ST,MS,"6, 7, 8",Elementary School,-87.7051366202,41.8409830539
POINT (-87.72550702000142 41.8400143471628),WHITNEY,6440,610227,2815 S KOMENSKY AV,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.72550702,41.8400143482
POINT (-87.71726636777883 41.85095510137707),PADEREWSKI,6930,610273,2221 S LAWNDALE AV,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.7172663676,41.8509551025
POINT (-87.66778067906698 41.82938703404414),EVERGREEN,7490,610319,3537 S PAULINA ST,MS,"6, 7, 8",Elementary School,-87.6677806787,41.829387035
POINT (-87.71149462898464 41.8244072467774),MCKINLEY PARK,7880,610353,3456 W. 38TH ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.7114946286,41.8244072476
POINT (-87.71149922310083 41.79350432082356),HERNANDEZ,8021,610532,3510 W. 55th ST,MS,"6, 7, 8",Elementary School,-87.7114992229,41.7935043218
POINT (-87.58076575748268 41.7392308438657),CALDWELL,2580,609833,8546 S CREGIER AV,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.5807657571,41.739230845
POINT (-87.56593378085958 41.74146134666707),COLES,2830,609862,8441 S YATES BL,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.5659337806,41.7414613476
POINT (-87.61001426882332 41.743630749555344),DIXON,3040,609887,8306 S ST LAWRENCE AV,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6100142689,41.7436307504
POINT (-87.63022155395437 41.72557945496441),TURNER-DREW,3110,609895,9300 S PRINCETON AV,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6302215538,41.7255794559
POINT (-87.62367875383018 41.725204905775904),GILLESPIE,3530,609939,9301 S STATE ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6236787539,41.7252049067
POINT (-87.5518977862758 41.743746015131194),NINOS HEROES,3720,609961,8344 S COMMERCIAL AV,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.551897786,41.743746016
POINT (-87.63948640118035 41.723720139738674),KIPLING,4350,610027,9351 S LOWE AV,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6394864011,41.7237201406
POINT (-87.59067600753154 41.75956167343225),MADISON,4570,610047,7433 S DORCHESTER AV,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.5906760071,41.7595616741
POINT (-87.63726903720232 41.77277613783798),BANNEKER,6880,610265,6656 S NORMAL BL,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.637269037,41.7727761389
POINT (-87.63726903720232 41.77277613783798),BANNEKER,6880,610265,6656 S NORMAL BL,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.637269037,41.7727761389
POINT (-87.64908899787251 41.763944813426264),GUGGENHEIM,7050,610283,7141 S MORGAN ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6490889977,41.7639448144
POINT (-87.65468650511119 41.78109277041038),WOODS,7080,610285,6206 S RACINE AV,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6546865048,41.7810927716
POINT (-87.62799881730166 41.74705723405436),LENART,7240,610298,8101 S LASALLE ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.627998817,41.7470572348
POINT (-87.64130741907277 41.76536290075954),HINTON,7250,610299,644 W 71ST ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6413074187,41.7653629016
POINT (-87.63488879176518 41.748838661771),WESTCOTT,7260,610300,409 W 80TH ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6348887918,41.7488386628
POINT (-87.64925356029391 41.7589329041104),STAGG,7760,610339,7424 S MORGAN ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6492535602,41.7589329052
POINT (-87.59037654644462 41.767727852709115),SOUTH SHORE FINE ARTS,2015,610530,1415 E 70th St,ES,"PK, K, 1, 2",Elementary School,-87.5903765463,41.7677278532
POINT (-87.61837217302867 41.836398648892825),PERSHING WEST,2680,610395,3200 S CALUMET AV,MS,"4, 5, 6, 7, 8",Middle School,-87.618372173,41.8363986498
POINT (-87.6128129252827 41.83109303132206),DOOLITTLE,3070,609891,535 E 35TH ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6128129254,41.8310930322
POINT (-87.59037654644462 41.767727852709115),FERMI,3320,609916,1415 E 70TH ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.5903765463,41.7677278532
POINT (-87.60259771373299 41.78295121715014),FISKE,3360,609919,6145 S INGLESIDE AV,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6025977132,41.7829512183
POINT (-87.59435708781483 41.7734840729756),WOODLAWN,3860,609977,6657 S KIMBARK AV,ES,"K, 1, 2, 3, 4, 5, 6",Elementary School,-87.5943570878,41.7734840738
POINT (-87.59039688379754 41.804435572549274),CANTER,4260,610018,4959 S BLACKSTONE AV,MS,"7, 8",Elementary School,-87.590396884,41.8044355736
POINT (-87.6024152554364 41.798029949865764),KOZMINSKI,4390,610030,936 E 54TH ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.602415255,41.7980299507
POINT (-87.60932192878076 41.775481346669764),TILL,4740,610065,6543 S CHAMPLAIN AV,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6093219288,41.7754813479
POINT (-87.61976542320772 41.823907789639264),WELLS,5250,610110,244 E PERSHING RD,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.619765423,41.8239077905
POINT (-87.6049899974068 41.80420045192398),REAVIS,5580,610143,834 E 50TH ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6049899973,41.8042004526
POINT (-87.60866854204312 41.78514272643612),SEXTON,5830,610169,6020 S LANGLEY AV,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6086685416,41.7851427275
POINT (-87.59396390401879 41.80432065860496),SHOESMITH,5920,610175,1330 E 50TH ST,ES,"K, 1, 2, 3, 4, 5, 6",Elementary School,-87.5939639035,41.8043206597
POINT (-87.59817741283281 41.778090584622035),WADSWORTH,6300,610213,6420 S UNIVERSITY AV,ES,"PK, K, 1, 2, 3, 4, 5",Elementary School,-87.5981774126,41.7780905854
POINT (-87.59902563394762 41.8173495481537),ROBINSON,6780,610256,4225 S LAKE PARK AV,ES,"PK, K, 1, 2, 3",Elementary School,-87.5990256339,41.8173495492
POINT (-87.60387486572998 41.81540860062817),PRICE,6810,610258,4351 S DREXEL BL,MS,"4, 5, 6, 7, 8",Elementary School,-87.6038748653,41.8154086015
POINT (-87.60105667128835 41.77356993818154),DUMAS BRANCH,6891,610266,6615 S KENWOOD AV,ES,"PK, K",Elementary School,-87.6010566712,41.773569939
POINT (-87.59279263521324 41.774549994892254),DUMAS BRANCH,6891,610266,6615 S KENWOOD AV,ES,"PK, K",Elementary School,-87.5927926351,41.7745499958
POINT (-87.65813461236445 41.70518387740761),BARNARD,2150,609788,10354 S CHARLES ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6581346123,41.7051838783
POINT (-87.61735238465138 41.710369464391725),BENNETT,2280,609800,10115 S PRAIRIE AV,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6173523841,41.7103694656
POINT (-87.69598214705938 41.74248962624514),CARROLL,2650,609839,2929 W 83RD ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.695982147,41.7424896271
POINT (-87.65981357453575 41.74532868800365),COOK,2860,609864,8150 S BISHOP ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6598135742,41.745328689
POINT (-87.62168233173021 41.68544551653238),CURTIS,3160,609900,32 E 115TH ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6216823313,41.6854455174
POINT (-87.66913272377052 41.68938159411639),ESMOND,3250,609908,1865 W MONTVALE AV,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6691327233,41.6893815947
POINT (-87.64037832451434 41.71123254048103),FERNWOOD,3330,609917,10041 S UNION AV,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6403783244,41.7112325413
POINT (-87.65544390214197 41.7296512903639),FORT DEARBORN,3400,609924,9025 S THROOP ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6554439022,41.7296512912
POINT (-87.66813605677122 41.73842933644132),FOSTER PARK,3430,609927,8530 S WOOD ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6681360564,41.7384293377
POINT (-87.6450612676481 41.73889769721214),GRESHAM,3670,609955,8524 S GREEN ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6450612671,41.7388976982
POINT (-87.65366960107626 41.74242918729755),CUFFE,4090,610003,8324 S RACINE AV,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.653669601,41.7424291883
POINT (-87.62360209063031 41.70485422312567),KOHN,4360,610028,10414 S STATE ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6236020902,41.7048542239
POINT (-87.65244910657383 41.71931989813537),"GREEN, W",4410,610032,1150 W 96TH ST,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6524491068,41.7193198989
POINT (-87.64003224573862 41.74120094878431),MORGAN,4830,610072,8407 S KERFOOT AV,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6400322457,41.7412009498
POINT (-87.69722715800565 41.69719835902566),KELLER,4960,610084,3020 W 108TH ST,ES,"1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6972271582,41.6971983601
POINT (-87.64769083967268 41.70200595943535),MOUNT VERNON,4980,610086,10540 S MORGAN ST,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6476908395,41.7020059605
POINT (-87.70201275590105 41.864181266456086),NORTH LAWNDALE CHRTR - COLLINS,1106,400059,1313 S SACRAMENTO DR,HS,"9, 10, 11",Charter,-87.7020127559,41.8641812675
POINT (-87.62701631580738 41.83111312631008),YOUTH CONNECTIONS ALT CHARTER HS,1121,609686,10 W 35TH ST,HS,"7, 8, 9, 10, 11, 12",Charter,-87.6270163164,41.8311131273
POINT (-87.71049008712235 41.86931960444428),HENRY FORD CHARTER,1165,400042,931 S HOMAN Av,HS,"9, 10",Charter,-87.7104900871,41.8693196057
POINT (-87.73391679772082 41.881837366927506),ACT CHARTER HS,1720,400008,4319 W. WASHINGTON BL,HS,"6, 7, 8, 9, 10, 11, 12",Charter,-87.7339167974,41.8818373676
POINT (-87.66266492181502 41.90020676869836),NOBLE - NOBLE STREET CHARTER HS,1930,400051,1010 N. NOBLE ST,HS,"9, 10, 11, 12",Charter,-87.6626649216,41.9002067697
POINT (-87.73003824676098 41.91518699968185),NOBLE - PRITZKER,1931,400054,4131 W CORTLAND AV,HS,"9, 10, 11, 12",Charter,-87.7300382473,41.9151870008
POINT (-87.70880504148688 41.753483557318674),HAMPTON,2350,609807,3434 W 77TH ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.7088050411,41.7534835582
POINT (-87.79150769436343 41.79502716789503),BYRNE,2570,609832,5329 S OAK PARK AV,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.7915076941,41.7950271687
POINT (-87.72581747663679 41.805475956140874),EDWARDS,3200,609903,4815 S KARLOV AV,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.7258174761,41.8054759573
POINT (-87.74576420127799 41.80822279606364),HEARST,3890,609981,4640 S LAMON AV,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.745764201,41.8082227972
POINT (-87.71942778884925 41.76675943383866),HURLEY,4120,610006,3849 W 69TH PL,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.7194277889,41.7667594345
POINT (-87.69706883990543 41.77397379216068),MARQUETTE,4620,610053,6550 S RICHMOND ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.69706884,41.7739737931
POINT (-87.69207512389606 41.7807771485748),FAIRFIELD,4660,610057,6201 S FAIRFIELD AV,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6920751235,41.7807771494
POINT (-87.69174841244497 41.76801569955821),MCKAY,4760,610067,6901 S FAIRFIELD AV,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.691748412,41.7680157007
POINT (-87.688510240641 41.784230111048394),MORRILL,4880,610077,6011 S ROCKWELL ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6885102402,41.7842301118
POINT (-87.68917803159813 41.79780611295784),NIGHTINGALE,5090,610096,5250 S ROCKWELL ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6891780315,41.797806114
POINT (-87.71923477158933 41.787926117375996),PECK,5340,610120,3826 W 58TH ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.7192347711,41.7879261186
POINT (-87.73170290214804 41.74712285144031),STEVENSON,6030,610185,8010 S KOSTNER AV,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.7317029018,41.7471228524
POINT (-87.70814071403424 41.78745796555823),TONTI,6220,610203,5815 S HOMAN AV,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.7081407139,41.7874579665
POINT (-87.71102461493389 41.79236748107013),SANDOVAL,6430,610226,5534 S ST LOUIS AV,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.7110246145,41.7923674821
POINT (-87.72892339689756 41.77538826687025),LEE,7170,610291,6448 S TRIPP AV,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.7289233965,41.7753882677
POINT (-87.72992078652196 41.73891090133531),DURKIN PARK,7870,610352,8445 S KOLIN  AV,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.7299207867,41.7389109021
POINT (-87.62574937589915 41.802218691864994),ATTUCKS,2100,609781,5055 S. STATE ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6257493759,41.8022186926
POINT (-87.61618036449309 41.79687743726791),BURKE,2460,609819,5356 S DR MARTIN LUTHER KING DR,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6161803646,41.7968774382
POINT (-87.62249057555425 41.78987597343031),CARTER,2670,609844,5740 S MICHIGAN AV,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6224905757,41.7898759747
POINT (-87.64261521491714 41.795656904289324),DEWEY,3030,609885,5415 S UNION AV,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6426152148,41.7956569055
POINT (-87.61182089210679 41.81801365349345),FULLER,3440,609928,4214 S ST LAWRENCE AV,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6118208918,41.8180136545
POINT (-87.67600075290977 41.76055689438772),RANDOLPH,3550,609941,7316 S HOYNE AV,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6760007523,41.760556895
POINT (-87.64337952122287 41.813264346129756),GRAHAM ES,3600,609947,4436 S UNION AV,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6433795217,41.8132643471
POINT (-87.66113994395194 41.80731678837147),HAMLINE,3740,609964,4747 S BISHOP ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.661139944,41.807316789
POINT (-87.67192636506567 41.790683151300186),HENDERSON,3920,609986,5650 S WOLCOTT AV,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6719263649,41.7906831521
POINT (-87.63370180494458 41.815808233405406),HENDRICKS,3930,609987,4316 S PRINCETON AV,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6337018047,41.8158082342
POINT (-87.6497357885219 41.793761024558705),HOLMES,4030,609997,955 W GARFIELD BL,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6497357885,41.7937610257
